Corpus,Amount,Duplicates
51934546,8,"[53231137, 52311715, 53108068, 53945931, 52013456, 53178353, 51934546, 51887645]"
45677481,6,"[28768802, 41414244, 45677481, 35155694, 28399219, 26827575]"
42635688,6,"[29302977, 40433954, 31336391, 42635688, 21088617, 33610585]"
29602863,3,"[25093765, 30782262, 29602863]"
169222308,3,"[170918347, 169222308, 192448822]"
8816978,3,"[8816978, 29013444, 24435357]"
195857770,3,"[195857841, 195857770, 88538954]"
35519531,6,"[1973696, 35519531, 37876975, 26150521, 38088985, 8560767]"
195672614,3,"[9062904, 195670602, 195672614]"
19064154,4,"[43185600, 44256362, 23547394, 19064154]"
53721289,3,"[53721289, 52892684, 52889861]"
966667,2,"[215196089, 966667]"
54467557,2,"[54467557, 10423063]"
121613959,2,"[17421565, 121613959]"
136557964,2,"[136557964, 212748885]"
195709589,2,"[17924122, 195709589]"
71661899,2,"[71661899, 45361756]"
108743264,2,"[108743264, 195858129]"
195275542,2,"[155487010, 195275542]"
52851699,2,"[38042659, 52851699]"
14274920,2,"[14274920, 37445022]"
106408912,2,"[106408912, 198998265]"
195115779,2,"[195115779, 195128779]"
6220254,2,"[6220254, 31191326]"
124715523,2,"[124715523, 199668587]"
96968249,2,"[96968249, 102954403]"
73469447,2,"[73490959, 73469447]"
212778885,2,"[213746809, 212778885]"
46665433,2,"[46665433, 13943770]"
77869344,2,"[77869344, 25817532]"
95798715,2,"[31968371, 95798715]"
140106936,2,"[140106936, 54283678]"
45595699,3,"[45220728, 20645521, 45595699]"
198175400,2,"[198175400, 198176738]"
35870654,2,"[35870654, 110922879]"
110353843,3,"[24202612, 110353843, 29675988]"
197036102,2,"[197036102, 196695103]"
119386612,2,"[119386612, 7372453]"
5014892,2,"[54598961, 5014892]"
9102779,2,"[201882514, 9102779]"
208015782,3,"[210510562, 199545516, 208015782]"
198127859,3,"[198969738, 198127859, 85959630]"
96788293,2,"[189787144, 96788293]"
12988232,2,"[12988232, 77148584]"
139206012,2,"[139206012, 3780231]"
96907130,2,"[96907130, 197317971]"
13372795,2,"[195916850, 13372795]"
46050730,2,"[24121320, 46050730]"
110501169,2,"[110501169, 51755276]"
53309361,2,"[53309361, 119371898]"
110743010,2,"[110743010, 109134622]"
202269419,2,"[202269419, 154939261]"
208259390,2,"[9218912, 208259390]"
116691435,2,"[10716696, 116691435]"
89157495,2,"[20672984, 89157495]"
203095669,2,"[165000461, 203095669]"
10022870,2,"[47400547, 10022870]"
211035340,2,"[211035340, 7755879]"
71161881,2,"[71161881, 13942426]"
61526270,2,"[61526270, 18210582]"
197189427,2,"[33479536, 197189427]"
196749789,2,"[197187299, 196749789]"
177580845,6,"[177614052, 177579912, 177570219, 177580845, 177586094, 177592818]"
51656416,3,"[51656416, 51637940, 51673749]"
53256325,2,"[54402003, 53256325]"
140021023,2,"[59373652, 140021023]"
212680520,2,"[212680520, 137812253]"
28197128,2,"[28197128, 116003284]"
28200653,2,"[198498525, 28200653]"
203728172,2,"[33665324, 203728172]"
91899631,2,"[201837221, 91899631]"
197408522,2,"[197408522, 10880370]"
43225242,2,"[43225242, 203740143]"
207747713,2,"[207747713, 196713319]"
214746868,2,"[2206857, 214746868]"
196606637,2,"[196606637, 11326455]"
112440892,3,"[112440892, 113619245, 15685102]"
52815666,2,"[52815666, 49294493]"
