Corpus,Amount,Duplicates
133653909,11,"[134670082, 125500899, 135231430, 135162345, 135451311, 133649968, 199113554, 134787063, 133653909, 135181047, 134009882]"
215574099,2,"[17190977, 215574099]"
32273935,2,"[37610448, 32273935]"
201301928,2,"[201301928, 19901764]"
7772725,2,"[7772725, 215093615]"
212552429,2,"[215452243, 212552429]"
79995879,2,"[79995879, 68493255]"
14005944,2,"[14005944, 215077261]"
966667,2,"[215196089, 966667]"
54467557,2,"[54467557, 10423063]"
20426276,2,"[85282721, 20426276]"
75453900,2,"[78777450, 75453900]"
95175383,2,"[189905427, 95175383]"
113841314,2,"[113841314, 109001662]"
86983781,2,"[86983781, 88439685]"
