id,Amount,Duplicates
10.1.1.99.6904,2,"['10.1.1.99.6904', '10.1.1.32.5901']"
10.1.1.98.4162,2,"['10.1.1.98.4162', '10.1.1.121.8750']"
10.1.1.97.9144,2,"['10.1.1.97.9144', '10.1.1.15.266']"
10.1.1.97.5765,2,"['10.1.1.97.5765', '10.1.1.125.9986']"
10.1.1.96.9361,2,"['10.1.1.96.9361', '10.1.1.1.5567']"
10.1.1.96.6534,8,"['10.1.1.96.6534', '10.1.1.49.9700', '10.1.1.26.5588', '10.1.1.207.214', '10.1.1.192.1996', '10.1.1.183.5765', '10.1.1.183.3710', '10.1.1.165.9793']"
10.1.1.96.4674,2,"['10.1.1.96.4674', '10.1.1.18.487']"
10.1.1.93.7066,2,"['10.1.1.93.7066', '10.1.1.153.7053']"
10.1.1.93.6900,2,"['10.1.1.93.6900', '10.1.1.125.2602']"
10.1.1.93.478,3,"['10.1.1.93.478', '10.1.1.39.6147', '10.1.1.113.7513']"
10.1.1.93.4031,2,"['10.1.1.93.4031', '10.1.1.7.4123']"
10.1.1.90.6865,2,"['10.1.1.90.6865', '10.1.1.63.7017']"
10.1.1.89.9207,2,"['10.1.1.89.9207', '10.1.1.88.1359']"
10.1.1.88.1359,2,"['10.1.1.89.9207', '10.1.1.88.1359']"
10.1.1.87.9361,2,"['10.1.1.87.9361', '10.1.1.139.2637']"
10.1.1.87.808,3,"['10.1.1.87.808', '10.1.1.39.6147', '10.1.1.18.2328']"
10.1.1.87.7740,3,"['10.1.1.87.7740', '10.1.1.59.6201', '10.1.1.39.6147']"
10.1.1.87.2959,2,"['10.1.1.87.2959', '10.1.1.163.3290']"
10.1.1.86.6095,2,"['10.1.1.86.6095', '10.1.1.133.6460']"
10.1.1.86.5219,7,"['10.1.1.86.5219', '10.1.1.49.9700', '10.1.1.26.5588', '10.1.1.207.214', '10.1.1.183.5765', '10.1.1.183.3710', '10.1.1.165.9793']"
10.1.1.85.5694,2,"['10.1.1.85.5694', '10.1.1.112.2448']"
10.1.1.84.9931,2,"['10.1.1.84.9931', '10.1.1.216.9539']"
10.1.1.84.497,2,"['10.1.1.84.497', '10.1.1.100.6547']"
10.1.1.83.5547,2,"['10.1.1.83.5547', '10.1.1.147.1024']"
