id,Amount,Duplicates
10.1.1.98.4162,2,"['10.1.1.121.8750', '10.1.1.98.4162']"
10.1.1.97.9144,2,"['10.1.1.15.266', '10.1.1.97.9144']"
10.1.1.96.9361,2,"['10.1.1.1.5567', '10.1.1.96.9361']"
10.1.1.96.6534,2,"['10.1.1.192.1996', '10.1.1.96.6534']"
10.1.1.96.4674,2,"['10.1.1.96.4674', '10.1.1.18.487']"
10.1.1.93.7066,2,"['10.1.1.93.7066', '10.1.1.153.7053']"
10.1.1.93.6900,2,"['10.1.1.93.6900', '10.1.1.125.2602']"
10.1.1.93.478,2,"['10.1.1.113.7513', '10.1.1.93.478']"
10.1.1.90.6865,4,"['10.1.1.90.6865', '10.1.1.74.3296', '10.1.1.81.6408', '10.1.1.63.7017']"
10.1.1.89.9207,2,"['10.1.1.89.9207', '10.1.1.88.1359']"
10.1.1.88.1359,2,"['10.1.1.89.9207', '10.1.1.88.1359']"
10.1.1.87.9361,2,"['10.1.1.139.2637', '10.1.1.87.9361']"
