id,title,year
10.1.1.89.9207,Write Markers for Probabilistic Quorum Systems,2007
10.1.1.88.1359,Write Markers for Probabilistic Quorum Systems,2007
10.1.1.108.8478,Reference Ontologies — Application Ontologies: Either/Or or Both/And?,
10.1.1.1.2490,Reference Ontologies — Application Ontologies:  Either/Or or Both/And?,2003
10.1.1.59.5519,Adaptive Routing for Intermittently Connected Mobile Ad Hoc Networks,2005
10.1.1.121.7316,Adaptive Routing for Intermittently Connected Mobile Ad Hoc Networks,2005
10.1.1.5.932,Lead Field Basis for FEM Source Localization  ,1999
10.1.1.3.2533,Lead Field Basis for FEM Source Localization ,1999
10.1.1.178.4340,385–395; MR1476320 (99a:52002)]. An overview of other related results is also given.,
10.1.1.169.2573,385–395; MR1476320 (99a:52002)]. An overview of other related results is also given.,
10.1.1.76.2175,Paravirtualization for HPC Systems,2006
10.1.1.112.3446,Paravirtualization for HPC Systems,2006
10.1.1.77.5470,Fingerprint classification by combination of flat and structural approaches,2001
10.1.1.142.1306,Fingerprint classification by combination of flat and structural approaches,2001
10.1.1.212.3815,References,
10.1.1.212.1256,References,
10.1.1.43.8609,Model based Bayesian Exploration,1999
10.1.1.33.4973,Model based Bayesian Exploration,1999
10.1.1.227.7452,PESA: Phrase pair extraction as sentence splitting,2005
10.1.1.129.8583,PESA: Phrase Pair Extraction as Sentence Splitting,2005
10.1.1.74.4531,A Component- and Message-Based Architectural Style for GUI Software,
10.1.1.26.4045,A Component- and Message-Based Architectural Style for GUI Software,1996
10.1.1.180.1751,Title of Each Class,2009
10.1.1.168.8,Title of Each Class,2009
10.1.1.38.3573,"Is It ""Economics and Psychology""?: The Case of Hyperbolic Discounting",
10.1.1.20.8918,"Is It ""Economics and Psychology""?: The Case of Hyperbolic Discounting",
10.1.1.187.7534,Previous Up Next Article Citations From References: 7 From Reviews: 2,
10.1.1.182.1598,Previous Up Next Article Citations From References: 7 From Reviews: 2,
10.1.1.129.1554,NuMA influences higher order chromatin organization in human mammary epithelium,2007
10.1.1.128.4185,NuMA influences higher order chromatin organization in human mammary epithelium,2007
10.1.1.67.9544,On flat-state connectivity of chains with fixed acute angles,2002
10.1.1.112.5553,On flat-state connectivity of chains with fixed acute angles,2002
10.1.1.32.8484,Fully Dynamic Transitive Closure: Breaking Through the O(n^2) Barrier,2000
10.1.1.1.9247,Fully Dynamic Transitive Closure: Breaking Through The O(n²)  Barrier,2000
10.1.1.6.285,Methodologies for Target Selection in Structural Genomics,2000
10.1.1.119.9102,Review Methodologies for target selection in structural genomics Abstract,
10.1.1.98.4162,Ten benchmark database queries for location-based services,2003
10.1.1.121.8750,Ten benchmark database queries for location-based services,2003
10.1.1.87.9361,Chapter 7 Depth estimation via sampling,2008
10.1.1.139.2637,  Depth estimation via sampling,2008
10.1.1.49.2865,Insertion of an Articulated Human into a Networked Virtual Environment,1994
10.1.1.39.6147,Insertion of an Articulated Human into a Networked Virtual Environment,1994
10.1.1.81.4430,TOPOLOGICAL CONJUGACY BETWEEN APERIODIC TILING DYNAMICAL SYSTEMS,
10.1.1.63.2502,TOPOLOGICAL CONJUGACY BETWEEN APERIODIC TILING DYNAMICAL SYSTEMS,
10.1.1.54.2933,Evolving Algebras and Partial Evaluation,1994
10.1.1.40.2308,Evolving Algebras and Partial Evaluation,1994
