id,title,year,abstract
10.1.1.99.6904,APPLICATION OF ARC IN SYSTEM DESIGN,,"Current and future mobile communication systems require the combination of high performance technology from very diverse engineering disciplines. Consequently, these systems are complex by nature, which complicates system-wide Quality of Service optimisation. In this paper we consider system-wide optimisation of resource distribution within the framework of a given (static) architecture but with components that do support multiple modes of operation. We take into account variable type of applications, quality requirements, resource availability, and external context. In this paper we use the concepts of Adaptive resource contracts (ARC) to capture and exploit the capabilities of individual components in the system. A relevant case study demonstrates the added value of the ARC concepts for system design. Eventually the method yields a specification of individual system components and an indication of the optimised overall QoS. 1"
10.1.1.98.4162,Ten benchmark database queries for location-based services,2003,"Location-based services (l-services for short) compose an emerging application involving spatiotemporal databases. In this paper, we discuss this type of application, in terms of database requirements, and provide a set of ten benchmark database queries (plus two operations for loading and updating data). The list includes selection queries on stationary and moving reference objects, join queries and unary operations on trajectories of moving objects. We also survey recent work in query processing for those query types, with emphasis on indexing of moving objects, and suggest candidates for efficiently supporting databases for l-services."
10.1.1.97.9144,Improving Automatic Indexing through Concept Combination and Term Enrichment,,"Although indexes may overlap, the output of an automatic indexer is generally presented as a flat and unstructured list of terms. Our pur-pose is to exploit term overlap and embed-ding so as to yield a substantial qualitative and quantitative improvement in automatic in-dexing through concept combination. The in-crease in the volume of indexing is 10.5 % for free indexing and 52.3 % for controlled indexing. The resulting structure of the indexed corpus is a partial conceptual analysis. 1"
10.1.1.97.5765,A new approach to real-time checkpointing,2006,"The progress towards programming methodologies that simplify the work of the programmer involves automating, whenever possible, activities that are secondary to the main task of designing algorithms and developing applications. Automatic memory management, using garbage collection, and automatic persistence, using checkpointing, are both examples of mechanisms that operate behind the scenes, simplifying the work of the programmer. Implementing such mechanisms in the presence of real-time constraints, however, is particularly difficult. In this paper we review the behavior of traditional copy-onwrite implementations of checkpointing in the context of real-time systems, and we show how such implementations may, in pathological cases, seriously impair the ability of the user code to meet its deadlines. We discuss the source of the problem, supply benchmarks, and discuss possible remedies. We subsequently propose a novel approach that does not rely on copy-on-write and that, while more expensive in terms of CPU time overhead, is unaffected by pathological user code. We also describe our implementation of the proposed solution, based on the Ovm RTSJ Java Virtual Machine, and we discuss our experimental results."
10.1.1.96.9361,Abstract GenIc: A Single Pass Generalized Incremental Algorithm for Clustering,,In this paper we introduce a new single pass clustering algorithm called GenIc designed with the objective of having low overall cost. We examine some of the properties of GenIc and compare it to windowed k-means. We also study its performance using experimental data sets obtained from network monitoring. 1
10.1.1.96.6534,Climate,2007,change and trace gases
10.1.1.96.4674,Ishikawa & Geiger Mapping Image Restoration to a Graph Problem,,"We propose a graph optimization method for the restoration of gray-scale images. We consider an arbitrary noise model for each pixel location. We also consider a smooth constraint where the potentials between neighbor pixels are convex functionals. We show how to map this problem to a directed flow graph. Then, a global optimal solution is obtained via the use of the maximumflow algorithm. The algorithm runs in a polynomial time with respect to the size of the image. 1."
10.1.1.93.7066,Quincunx fundamental refinable functions and quincunx biorthogonal wavelets,1999,"Abstract. We analyze the approximation and smoothness properties of quincunx fundamental refinable functions. In particular, we provide a general way for the construction of quincunx interpolatory refinement masks associated with the quincunx lattice in R 2. Their corresponding quincunx fundamental refinable functions attain the optimal approximation order and smoothness order. In addition, these examples are minimally supported with symmetry. For two special families of such quincunx interpolatory masks, we prove that their symbols are nonnegative. Finally, a general way of constructing quincunx biorthogonal wavelets is presented. Several examples of quincunx interpolatory masks and quincunx biorthogonal wavelets are explicitly computed. 1."
10.1.1.93.6900,Qualitative Reasoning Group,,"The finite representation of infinite behaviors provided by total envisionments has been shown to be useful for tasks such as model development, explanation, and monitoring. Unfortunately, generating total envisionments of complex systems can be intractable, or at least excessive for highly-focused tasks. Such shortcomings have encouraged some researchers to favor alternative schemes, such as attainable envisioning and history generation. However, we argue in this paper for an incremental means of envisioning that can realizemany ofthe practical advantages oftotal envisioning while supporting more-focused search to address issues of tractability and relevance. In this paper, we describe our theory of incremental envisioning and compare it with QPC [3] and QPE [9]. We emphasize how IQE attempts to reason about states at low (i.e., abstract) levels of detail when that is sufficient for the overall task. Such reasoning helps avoid the inefficiency of making state distinctions that are irrelevant for the overall task- a problemcommonamong most other current qualitative simulators, including QPC and QPE. I"
10.1.1.93.478,Abstract Type-Based Race Detection for Java,,"This paper presents a static race detection analysis for multithreaded Java programs. Our analysis is based on a formal type system that is capable of capturing many common synchronization patterns. These patterns include classes with internal synchronization, classes that require client-side synchronization, and thread-local classes. Experience checking over 40,000 lines of Java code with the type system demonstrates that it is an effective approach for eliminating races conditions. On large examples, fewer than 20 additional type annotations per 1000 lines of code were required by the type checker, and we found a number of races in the standard Java libraries and other test programs. 1"
